class,count,total_area_m2,total_length_m,density_per_km2,area_fraction
building,236,84813.888,0.0,765.5813,0.275135
large vehicle,2,65.796,0.0,6.488,0.000213
road,280,31911.465,0.0,908.3168,0.10352
ship,18,585.248,0.0,58.3918,0.001899
small vehicle,68,1864.426,0.0,220.5912,0.006048
