Location,QuadKey,Url,Size,UploadDate
Afghanistan,123012332,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123012332/part-00181-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,105.1KB,2026-02-23
Afghanistan,123012333,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123012333/part-00042-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.8MB,2026-02-23
Afghanistan,123013003,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013003/part-00091-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,598.4KB,2026-02-23
Afghanistan,123013011,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013011/part-00109-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,493.5KB,2026-02-23
Afghanistan,123013012,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013012/part-00116-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.1MB,2026-02-23
Afghanistan,123013013,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013013/part-00162-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.7MB,2026-02-23
Afghanistan,123013020,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013020/part-00182-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.0MB,2026-02-23
Afghanistan,123013021,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013021/part-00033-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.9MB,2026-02-23
Afghanistan,123013022,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013022/part-00193-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,15.9MB,2026-02-23
Afghanistan,123013023,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013023/part-00097-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.7MB,2026-02-23
Afghanistan,123013030,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013030/part-00088-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.0MB,2026-02-23
Afghanistan,123013031,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013031/part-00037-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.3MB,2026-02-23
