class,count,total_area_m2,total_length_m,density_per_km2,area_fraction
building,268,238269.758,0.0,197.7995,0.175857
large vehicle,7,224.613,0.0,5.1664,0.000166
plane,1,534.826,0.0,0.7381,0.000395
road,1231,155755.088,0.0,908.5493,0.114956
ship,174,7789.941,0.0,128.4221,0.005749
small vehicle,75,1216.77,0.0,55.3543,0.000898
